id,location,lat,lon,state
GLC3776,Itanagar/Naharlagur/Nirjuli,27.125,93.7145,Arunachal Pradesh
GLC3789,Mebua (8 km from Seppa),27.2743,92.9064,Arunachal Pradesh
GLC3806,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Secto",27.1032,93.6884,Arunachal Pradesh
GLC3805,200 meters from Teesta Bridge towards Siliguri,27.05374234,88.42572376,Sikkim
GLC3830,Manipur,24.3527,94.3429,Manipur
GLC3837,NH 37,26.5836,93.0038,Assam
GLC3840,Manipur,24.6869,93.9157,Manipur
GLC3860,"Maram, Manipur",25.4192,94.108,Nagaland
GLC3881,Itanagar,27.1034,93.6885,Arunachal Pradesh
GLC3912,East Kameng district in Arunachal Pradesh bordering China,27.44,92.2833,Arunachal Pradesh
GLC3916,"Chumukedima, Dimapur",25.7713,93.8067,Assam
GLC3925,"East Kameng, Arunachal Pradesh",27.4888,93.0153,Arunachal Pradesh
GLC3965,NH 37 at Awang Khul,24.808,93.117,Assam
GLC3983,"Maighuli, Guwahati, Meghalaya",26.1548,91.7351,Assam
GLC4241,Tamei constituency in Tamenlong district,25.1604,93.6795,Manipur
GLC4313,"Endulin Nallah, Mayodia, 17-camp, 83-camp",28.4659,95.86,Arunachal Pradesh
GLC4377,"Guwahati, Assam",26.1475,91.7356,Assam
GLC4378,"Arunachal Pradesh, Dibang,",28.8254,96.1517,Arunachal Pradesh
GLC4382,"between Harangajao and Mailongdisa, Assa,",25.1175,92.8573,Assam
GLC4385,"lachen, Sikkim",27.7167,88.5577,Sikkim
GLC4394,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",27.1748,88.6458,Sikkim
GLC4393,"Nathang Maong, Sikkim",27.7565,88.632,Sikkim
GLC4403,"Imphal-Jiribam section of NH-37 , Manipur",24.8142,93.5444,Manipur
GLC4407,"NH44, Malidhor area,  Baleswar",25.0951,92.3567,Assam
GLC4408,"NH44, Kuliang",25.5498,92.0757,Meghalaya
GLC4424,"Lalunggaon, Guwahati,  Assam",26.149,91.7351,Assam
GLC4426,Lalunggaon near Gorchuk area,26.1226,91.7162,Assam
GLC4435,"Tirap , Arunachal Pradesh",27.174,95.8011,Arunachal Pradesh
GLC4436,"Khonsa, Arunachal Pradesh",26.9986,95.4993,Arunachal Pradesh
GLC4434,"Sonaighuli area near Kahilipara, Guwahati City, Assam",26.1049,91.7369,Assam
GLC4446,"Tuting, Upper Siang , Arunachal Pradesh",28.9986,94.8885,Arunachal Pradesh
