id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source,label,elevation,slope,aspect,slope_max_nbhd,slope_mean_nbhd,relief_nbhd,dist_to_road_m,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,soil_moisture_surface,soil_moisture_subsurface,vv_anomaly,factor_of_safety
NEG198,2018-09-14,near_GLC2575,25.51801,93.12622,,,,,,,0,204,11,258,23,10.263691498924707,67,1746.8905771886523,8717.0,3.1199999153614044,61.63499879371375,76.76999869383872,145.62649752851576,313.22149370610714,0.40023016929626465,0.4159560799598694,1.005567027882564,1.1013871404329856
NEG199,2025-05-15,near_GLC2575,25.49218,92.98075,,,,,,,0,293,13,328,26,12.713954017755514,80,1875.698650471254,6650.0,1.2999999476596713,11.009999758563936,94.78499712515622,110.56499675381929,214.94999327603728,0.2725316286087036,0.27494001388549805,0.2468942988526983,1.147545936304168
NEG200,2019-06-13,near_GLC2577,25.58263,93.82575,,,,,,,0,1360,22,172,45,25.53101863961514,226,528.269620317687,5866.666666666667,12.654999651946127,24.554999507963657,40.64499928522855,86.37349826656282,205.38849544059485,0.3219887316226959,0.3321813642978668,0.38120806144561925,0.6272120521817892
NEG201,2023-05-11,near_GLC2577,25.489,93.83479,,,,,,,0,931,24,99,46,25.3958390239461,298,506.06046486903335,7318.666666666667,1.2749999659135938,1.2749999659135938,4.3699999107047915,19.283999459818006,51.38899908121675,0.21634501218795776,0.27847158908843994,1.002961206364545,0.6824620837619653
NEG202,2008-11-21,near_GLC2576,25.43122,94.06632,,,,,,,0,1344,35,142,46,25.791916201753388,189,250.02993935262074,8170.0,0.25499999430030584,0.7649999670684338,0.7999999672174454,0.7999999672174454,80.59949766052887,,,,0.6769254485667469
NEG203,2009-12-14,near_GLC2576,25.47171,94.10597,,,,,,,0,1691,16,180,32,16.67736978692406,174,185.02593348724955,7273.5,0.0,0.0,0.004999999888241291,0.11999999731779099,19.44999936595559,,,,0.9782176467120023
NEG204,2019-01-10,near_GLC2579,25.67946,94.19448,,,,,,,0,1026,8,125,23,12.352145803270128,94,16.22670999650576,7268.333333333333,1.5949999513104558,1.5949999513104558,1.874999945051968,2.033499942626804,21.19349951343611,0.3088417649269104,0.33212393522262573,-2.2179872322699374,1.2440074684612368
NEG205,2019-08-24,near_GLC2579,25.66606,94.13975,,,,,,,0,1225,20,275,28,15.348435777679288,130,18.33781212077585,8932.5,3.7449998948723078,10.389999787323177,22.989999619312584,76.0699987700209,310.05749339889735,0.3687017858028412,0.36682265996932983,-0.5380592662714587,0.9439143186978015
NEG206,2018-06-13,near_GLC2587,25.80484,94.06634,,,,,,,0,1256,31,328,38,19.503745488388972,208,86.52421420066831,5645.0,109.72499744594097,156.8449962437153,240.7599941706285,275.1849933024496,327.21999175008386,0.39745157957077026,0.3985251784324646,-0.4179056081885557,0.6731990347775691
NEG207,2009-01-15,near_GLC2587,25.68522,94.13187,,,,,,,0,1360,20,336,33,16.364699199000174,150,299.1136189607513,5825.0,0.06999999843537807,0.08999999798834324,1.3099999586120248,2.492999929469079,3.7629998973570764,,,,0.9475905605077413
NEG208,2019-08-30,near_GLC2743,27.69096,91.87054,,,,,,,0,4404,14,121,64,18.25358119801262,157,532.1529484772019,1060.0,0.5049999887123704,2.234999963082373,8.194999786093831,15.594999654218554,159.61049606651068,0.3186192810535431,0.32924318313598633,2.0777715458056427,0.512601875546757
NEG209,2019-06-06,near_GLC2743,27.57064,91.81506,,,,,,,0,2648,31,214,47,29.201251606414488,331,477.0765854952446,6358.0,0.0,4.514999970793724,40.761499270796776,77.80649841576815,101.3364979699254,0.2972079813480377,0.31681862473487854,1.0631375128195577,0.6185942865586449
NEG210,2016-12-28,near_GLC3269,28.06034,96.44983,,,,,,,0,606,23,156,50,24.178391428666792,274,49.48194606371552,8364.5,2.7049998492002487,2.8549998458474874,2.9299998432397842,2.9899998418986797,4.05849980795756,0.2196168452501297,0.25507020950317383,-0.6329080608668072,0.6295984139793396
NEG211,2009-12-09,near_GLC3269,28.03134,96.44521,,,,,,,0,493,37,89,70,34.94135191079256,378,31.609621243023266,8286.0,1.3300000205636024,8.769999705255032,8.769999705255032,8.982499702833593,63.582498661242425,,,,0.565290455381048
NEG212,2020-09-10,near_GLC3525,24.94525,93.3344,,,,,,,0,241,19,20,34,16.869707361682668,127,14633.63008498122,9099.0,0.08499999903142452,8.714999621734023,16.374999354593456,74.70999760366976,192.6449952116236,0.35254430770874023,0.3594211935997009,-0.13981390139743333,0.7935488463107554
NEG213,2024-05-04,near_GLC3525,25.07827,93.44803,,,,,,,0,845,37,43,54,32.187086017084646,298,10361.565702668902,8266.0,0.0,37.47499842569232,49.91999817918986,134.71499596070498,148.5599954687059,0.2110757827758789,0.19860891997814178,0.979260186178418,0.5945822721964062
NEG214,2018-04-03,near_GLC3532,25.1574,92.98297,,,,,,,0,875,17,59,29,15.90684775165487,174,3123.8503782242788,6210.5,0.6199999945238233,1.0484999846667051,11.368499618023634,14.643499549478292,103.09849737491459,0.28792521357536316,0.31970977783203125,-1.112351272315541,1.007789194359843
NEG215,2023-07-07,near_GLC3532,24.94825,92.92282,,,,,,,0,30,0,0,6,2.20003429355281,12,2298.0625782208162,6430.5,1.1549999751150608,74.15499930083752,92.63599876035005,156.99099692702293,627.9959849687293,0.5089421272277832,0.5316762328147888,0.8292887927503543,3.9226554000009357
NEG216,2010-09-22,near_GLC3560,24.76848,93.64953,,,,,,,0,1033,42,121,51,28.392439264534172,337,2121.6275152904777,4499.666666666667,19.549999923445284,51.6649990035221,79.7199981994927,213.29999513365328,356.57249106653035,,,,0.6158697182021489
NEG217,2017-01-08,near_GLC3560,24.70056,93.56802,,,,,,,0,906,16,83,38,24.057513659637372,222,3422.969446251997,8532.333333333334,0.0,0.0,0.0020000000949949026,0.24699998716823757,0.24699998716823757,0.2135520577430725,0.24508368968963623,0.312074764476967,0.8291230574982831
NEG218,2014-09-04,near_GLC3556,25.27519,93.97254,,,,,,,0,1586,17,79,30,15.871162286952064,198,4608.024231129361,7122.333333333333,0.4049999909475446,4.94049989618361,32.51049961708486,187.26549630705267,249.76049470994622,,,,1.0457106679945398
NEG219,2020-08-08,near_GLC3556,25.27142,93.74462,,,,,,,0,1067,29,261,50,27.342789059026064,324,9465.028718859905,5317.0,11.644999645650387,15.48999954201281,65.98349789623171,124.01849669869989,275.00349359121174,0.3544939160346985,0.3616364300251007,-0.6704034851560436,0.5546273074177799
NEG220,2017-05-06,near_GLC3633,26.32845,94.53229,,,,,,,0,1338,12,2,25,11.294164848950624,109,35.13538824706873,3656.0,2.3449999522417784,9.759999787434936,21.597499566152692,59.28249854594469,91.59249767940491,0.3104380667209625,0.3332233726978302,-0.45634773847617094,1.1406536895973853
NEG221,2023-08-18,near_GLC3633,26.22469,94.4196,,,,,,,0,1098,23,267,39,18.479657508681044,134,39.90455960549801,6633.333333333333,4.704999865964055,7.2349998047575355,30.874999169260263,196.589994805865,404.03399083018303,0.3920883536338806,0.4143334925174713,0.7681424728908794,0.6612623436764782
NEG222,2019-03-03,near_GLC3637,25.52004,94.37211,,,,,,,0,1122,32,286,43,26.632365825074814,249,2358.9899185533322,6211.5,0.0,20.643999623134732,35.05399932060391,35.06399932038039,35.279999318532646,0.31118032336235046,0.3263327479362488,0.8442245192759232,0.6618787872538607
NEG223,2024-08-03,near_GLC3637,25.51771,94.35954,,,,,,,0,1174,25,142,49,23.805389289697068,208,2907.3290972141276,6736.666666666667,3.1949999229982495,13.219999655149877,142.27499637845904,199.8249951088801,262.9849937045947,0.38664257526397705,0.4074004590511322,-1.5002142147120736,0.544980980447564
NEG224,2011-04-11,near_GLC3663,25.68503,94.11019,,,,,,,0,1438,18,352,28,15.5468852980614,114,100.30752061393599,2858.6666666666665,0.4399999985471368,0.45499999821186066,4.014999910257757,38.72149929497391,95.57649789005518,,,,1.122946072659206
NEG225,2023-07-19,near_GLC3663,25.76732,94.04253,,,,,,,0,752,13,246,30,13.90643593586775,137,143.364199983027,3744.3333333333335,5.489999905228615,29.91999933961779,81.484998004511,196.34999463055283,288.59549328591675,0.3803863227367401,0.3901253938674927,0.6973080836895287,0.8674253082229118
NEG226,2014-12-19,near_GLC3662,24.95502,94.02339,,,,,,,0,801,1,29,11,2.9697541236583107,14,58.26056030049685,3492.5,0.0,0.004999999888241291,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,-1.5642577262942559,2.9059179354143505
NEG227,2007-11-20,near_GLC3662,24.91213,94.12579,,,,,,,0,811,2,270,14,4.290624678398682,44,137.31712198633795,5570.0,0.0,0.0,71.07999866176397,80.52499862201512,80.84099861234426,,,,2.278369109567298
NEG228,2008-11-26,near_GLC3672,25.47839,93.41677,,,,,,,0,359,3,270,15,6.102539295917322,39,3443.683274028571,8652.5,0.0,0.0,0.07499999832361937,0.07999999821186066,12.774999583605677,,,,2.1247633730766076
NEG229,2009-07-07,near_GLC3672,25.45861,93.43485,,,,,,,0,436,5,140,13,3.5087251989208736,23,2753.6702891371456,8500.5,4.714999943971634,8.34499990567565,44.54149922542274,94.27649786137044,170.7864959752187,,,,2.45549141126334
NEG230,2017-12-20,near_GLC3683,25.78642,94.11343,,,,,,,0,1193,24,289,36,18.501600708398616,201,362.44207294276725,8644.333333333334,0.0,0.0,0.0,17.45999957807362,17.527499576099217,0.3304644525051117,0.34084203839302063,0.435719786665981,0.7700503101680107
NEG231,2023-10-18,near_GLC3683,25.98705,94.29772,,,,,,,0,1019,26,351,41,21.366579782411602,232,315.03535690723567,8941.333333333334,0.0,0.11999999731779099,22.249999344348907,53.01999839767814,149.0699964137748,0.3433171808719635,0.3676662743091583,-0.29685108773435687,0.6682873138029435
NEG232,2008-04-22,near_GLC3738,24.92442,93.83915,,,,,,,0,843,3,132,10,3.085041171088745,21,238.93616425783878,5121.5,0.0,0.0,0.6199999880045652,17.974999577738345,88.0384980617091,,,,3.198447748515856
NEG233,2022-03-27,near_GLC3738,24.87346,93.81422,,,,,,,0,826,2,107,17,3.7787335285505135,33,156.58291335370333,4127.333333333333,12.039999797940254,24.3399995341897,26.864999460056424,26.914999457076192,27.741999436169863,0.2620823085308075,0.24944981932640076,-2.753866818872039,1.791171139121211
NEG234,2023-08-23,near_GLC3741,25.4505,94.13799,,,,,,,0,1426,21,113,29,16.97643335306708,189,70.40388060319624,1841.0,17.559999585151672,44.47999885305762,56.5849985787645,150.5899964896962,203.74949499685317,0.36639875173568726,0.37007761001586914,1.0686858720685306,0.9140084816044107
NEG235,2015-01-01,near_GLC3741,25.47052,94.13679,,,,,,,0,1649,18,69,30,18.682709163346612,205,52.78822900587679,6743.0,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.5549999754875898,,,1.4736678599014637,1.0457106679945398
NEG236,2009-11-07,near_GLC3760,25.78272,94.12131,,,,,,,0,1351,30,346,40,21.30938135083278,225,31.11895574325817,7946.0,0.0,0.8049999922513962,2.464499925263226,5.669499851763248,74.41949786245823,,,,0.7776488575672658
NEG237,2022-07-27,near_GLC3760,25.648,94.18095,,,,,,,0,1036,21,144,30,17.385497527987713,181,27.06504825548755,8342.0,13.629999607801437,41.12499897181988,92.22499772720039,108.21999718714505,222.3384943092242,0.3897522985935211,0.4027385115623474,1.3036201160932999,0.8566790832924999
NEG238,2024-12-19,near_GLC3776,27.10192,93.83416,,,,,,,0,102,2,77,14,3.20103925837804,20,708.6145379170326,4881.666666666667,0.0,0.0,0.0,1.4499999657273293,6.554999814368784,0.22008678317070007,0.2691761255264282,0.048053891176460084,2.2914229150766467
NEG239,2021-09-12,near_GLC3776,27.10732,93.84934,,,,,,,0,100,1,180,8,2.3554031606357184,12,1005.5357738438292,7137.0,2.6049999482929707,6.339999884366989,131.78999767825007,292.9999943450093,577.9299872191623,0.3754306435585022,0.3650723397731781,0.4249451337864478,3.2932087399681373
NEG240,2009-03-24,near_GLC3789,27.2658,92.912,,,,,,,0,488,32,284,46,26.22265305436331,232,588.6742573283074,6569.666666666667,0.0,5.704999799840152,6.194999790750444,7.264999779872596,15.1294996002689,,,,0.6769254485667469
NEG241,2017-02-17,near_GLC3789,27.28911,92.8109,,,,,,,0,801,40,23,53,37.438675122694576,391,348.97245726235207,7853.0,0.0,0.7399999722838402,0.7399999722838402,0.7399999722838402,3.0894998842850327,0.35765039920806885,0.36758047342300415,,0.5302959236311012
NEG242,2019-09-06,near_GLC3806,26.97581,93.62936,,,,,,,0,142,14,218,26,10.91548203670199,74,254.87204625464534,8344.666666666666,8.549999855458736,29.98999919462949,62.2034980263561,144.56349550094455,236.99849452637136,0.3114050030708313,0.2696273922920227,-0.4617623290333306,1.0947485124430552
NEG243,2011-03-09,near_GLC3806,27.08484,93.59444,,,,,,,0,262,8,156,20,5.75579176581511,31,329.5298053392252,4215.0,4.399999866262078,4.669999862089753,10.09999970998615,10.256999709643424,31.12699931766838,,,,1.5861531116283452
NEG244,2025-01-24,near_GLC3805,27.12957,88.30529,,,,,,,0,381,42,191,52,28.42959255809777,310,62.97653078438357,6401.333333333333,0.0,0.0,0.0,3.6299999309703708,9.174999844282866,0.19868065416812897,0.25410395860671997,-0.09774298947715643,0.619462457646299
NEG245,2020-02-22,near_GLC3805,27.14814,88.53228,,,,,,,0,276,5,6,39,15.16042360807278,155,40.86129326434914,3664.3333333333335,6.799999771639705,8.454999739304185,8.454999739304185,8.874999726191163,11.661499639973044,0.17114421725273132,0.21277116239070892,-1.7452484974816063,0.8420028673498794
NEG246,2011-12-26,near_GLC3830,24.45326,94.2418,,,,,,,0,978,21,60,36,20.061505795937105,209,2043.2850196810753,8520.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.35499998833984137,,,,0.8662087320075671
NEG247,2009-05-07,near_GLC3830,24.42748,94.3921,,,,,,,0,258,10,30,34,12.582128958938394,126,2213.3426702271418,6126.5,0.0949999988079071,0.0949999988079071,1.8119999412447214,6.676999848335981,57.52199883107096,,,,0.9188098560839355
NEG248,2019-04-20,near_GLC3837,26.56303,92.95499,,,,,,,0,73,1,48,11,3.1669748979453765,17,657.2998419250545,5571.5,0.0,4.524999886751175,33.52999968267977,70.15999855380505,153.82199683506042,0.23153792321681976,0.23352766036987305,-0.12291777364658607,2.883637185059007
NEG249,2024-10-01,near_GLC3837,26.60426,92.95737,,,,,,,0,82,2,90,10,3.04866583245967,14,647.0101429398658,7872.666666666667,13.729999504983425,16.584999390877783,57.09499815758318,61.55499803368002,161.0749969445169,0.2579275667667389,0.23674552142620087,0.14365635945727906,3.0747439221505517
NEG250,2019-05-18,near_GLC3840,24.81745,93.93061,,,,,,,0,781,0,0,7,2.4474120864659503,12,710.2431929870381,2253.0,2.109999978914857,20.524999717250466,38.30499931611121,57.65999882854521,108.62349725980312,0.2113761156797409,0.22995193302631378,-0.6273225533832578,4.649528327011071
NEG251,2008-12-14,near_GLC3840,24.6005,93.77381,,,,,,,0,775,1,20,9,2.4823696639002253,13,944.5261440626351,3730.5,0.0,0.0,0.014999999664723873,0.27549999387701973,0.7454999805777334,,,,3.5557939043574724
NEG252,2011-02-21,near_GLC3860,25.38079,94.08555,,,,,,,0,1279,13,290,31,15.135275825540216,148,76.0584848567356,4398.0,0.0,0.0,0.9649999737739563,0.9649999737739563,1.0634999722242355,,,,1.0108602112162877
NEG253,2012-12-06,near_GLC3860,25.4149,94.09821,,,,,,,0,1409,8,24,22,11.86486178658072,114,108.53172035847398,4786.333333333333,0.06999999843537807,0.06999999843537807,0.6799999866634607,0.7999999830499291,14.759999549016356,,,,1.4389171473241251
NEG254,2022-11-23,near_GLC3881,27.16338,93.75075,,,,,,,0,175,13,64,34,11.884699097967061,110,155.87790569362147,6618.666666666667,0.0,0.0,0.22999998927116394,0.4499999824911356,120.72349756909534,0.2859528362751007,0.29553550481796265,-0.5080385275029986,0.8589481973590811
NEG255,2014-05-18,near_GLC3881,27.15371,93.75082,,,,,,,0,128,6,216,22,5.890091889284072,45,148.95869708117732,3797.5,22.064999625086784,39.06499930471182,64.95499870646745,206.75999452453107,287.71699273679405,,,,1.4389171473241251
NEG256,2020-12-19,near_GLC3912,27.52534,92.14599,,,,,,,0,4493,29,151,65,26.08914533641964,246,4411.624970663241,2694.3333333333335,0.014999999664723873,0.28999999444931746,1.104999971576035,9.344999741762877,23.822499313391745,0.2613949477672577,0.2802015244960785,0.5751711796618864,0.5320067620742681
NEG257,2018-06-02,near_GLC3912,27.37929,92.38234,,,,,,,0,2063,21,330,36,19.121231458158395,158,5892.539528076363,4392.0,1.1785000078380108,6.733499888330698,16.528499755077064,122.41349839512259,200.24349743500352,0.3007943630218506,0.31131511926651,1.3767390909000596,0.7971023538925115
NEG258,2021-04-24,near_GLC3916,25.84059,93.81795,,,,,,,0,173,1,228,4,1.3963801418439714,10,168.0091471046858,3428.0,0.08500000089406967,1.7549999710172415,4.884999863803387,38.764998845756054,55.82749854307622,0.23716804385185242,0.2976311147212982,4.249518640391839,7.900611239907091
NEG259,2022-02-09,near_GLC3916,25.79759,93.74363,,,,,,,0,170,0,0,4,1.3649923378171296,9,147.008682026952,3833.6666666666665,0.0,0.0,34.96999892313033,39.750498816370964,58.50549845024943,0.25777509808540344,0.2720544934272766,-0.588403508667497,7.705395670998342
NEG260,2020-07-07,near_GLC3925,27.49207,93.01521,,,,,,,0,500,18,51,40,22.038554028208086,205,2036.751902742586,8071.0,5.264999872073531,12.629999591037631,49.167498773895204,268.2424945225939,424.78749087359756,0.4683275818824768,0.47340720891952515,-0.6853753449481701,0.600020928198944
NEG261,2007-11-06,near_GLC3925,27.41825,93.04884,,,,,,,0,990,22,47,44,26.597210874455758,256,3275.787572027499,8903.666666666666,0.0,0.0,0.07050000131130219,2.1354999765753746,174.41549637541175,,,,0.7068387710212181
NEG262,2008-09-11,near_GLC3965,24.78547,93.15397,,,,,,,0,50,6,350,26,8.404624542124544,60,73.22611980259886,4732.0,8.324999779462814,27.03499935939908,74.46999819390476,130.61599672585726,381.845991415903,,,,1.2121029133401509
NEG263,2018-03-01,near_GLC3965,24.676,92.85205,,,,,,,0,26,0,180,5,1.748550807652652,9,83.4026398778526,3744.0,0.0,10.399999657645822,19.1349995713681,19.1349995713681,19.199499571695924,0.1952342540025711,0.21723882853984833,0.2064987142513388,6.636364412782901
NEG264,2016-09-08,near_GLC3983,26.14059,91.61213,,,,,,,0,55,2,140,7,2.419395366209778,12,203.67798060597204,5611.5,4.809999857097864,13.14499965775758,27.070999221876264,72.48599863331765,122.14599747862667,0.3736540973186493,0.37349390983581543,-0.058467191885589465,3.774024394232597
NEG265,2022-12-27,near_GLC3983,26.29189,91.66203,,,,,,,0,52,2,294,8,2.8082379138455282,13,465.51650256777407,4870.0,0.0,0.0,0.0,0.0,0.001500000013038516,0.3275648057460785,0.330861359834671,1.2964246581594328,3.5188224055503357
