id,storm_rain_1d,storm_rain_3d,storm_rain_7d
NEG356,11.27,35.24,65.44
NEG357,27.22,54.37,99.01
NEG358,9.81,54.69,111.02
NEG359,0.04,0.49,0.85
NEG360,5.34,19.3,130.43
NEG361,20.05,26.23,48.11
NEG362,0.48,1.73,3.97
NEG363,2.75,56.87,108.4
NEG364,0.0,0.0,0.0
NEG365,52.48,110.96,120.01
NEG366,1.06,1.08,1.08
NEG367,2.3,38.97,93.14
NEG368,14.29,59.75,81.35
NEG369,0.25,13.5,55.01
NEG370,22.17,27.72,136.68
NEG371,0.0,0.0,3.77
NEG372,12.74,70.03,70.3
NEG373,4.36,4.36,5.82
NEG374,0.0,0.06,0.06
NEG375,3.32,31.79,56.96
NEG376,45.58,51.97,92.67
NEG377,70.69,97.27,116.54
NEG378,2.05,2.51,7.15
NEG379,33.23,39.14,57.8
NEG380,0.06,1.35,4.33
NEG381,1.57,3.13,5.27
NEG382,4.3,54.14,167.88
NEG383,12.03,24.43,36.65
NEG384,40.96,191.58,274.14
NEG385,11.13,99.61,122.08
NEG386,1.75,4.73,5.54
NEG387,9.0,44.27,156.47
NEG388,30.07,37.77,41.25
NEG389,1.09,86.12,94.25
NEG390,1.37,5.15,5.3
NEG391,0.01,8.15,8.16
NEG392,0.0,0.0,0.02
NEG393,0.0,0.0,9.82
NEG394,23.81,39.26,50.31
NEG395,4.9,8.48,13.19
NEG396,0.08,2.68,3.05
NEG397,0.34,5.72,31.48
NEG398,0.0,0.0,3.02
NEG399,39.49,65.51,163.19
NEG400,0.37,1.9,9.69
NEG401,13.24,16.78,42.06
NEG402,30.53,50.02,72.95
NEG403,0.0,0.02,0.02
NEG404,16.49,16.49,16.49
NEG405,2.82,3.4,48.52
NEG406,0.0,0.39,7.23
NEG407,0.0,0.0,7.75
NEG408,5.7,16.38,95.69
NEG409,0.0,0.0,6.94
NEG410,24.7,63.78,77.73
NEG411,20.65,49.86,61.38
NEG412,0.0,0.05,1.02
NEG413,0.0,0.0,0.03
NEG414,92.29,230.44,320.9
NEG415,0.0,1.29,27.43
NEG416,0.0,0.0,0.0
NEG417,0.0,0.0,0.0
NEG418,0.53,10.03,10.05
NEG419,0.0,0.16,0.16
NEG420,0.09,0.09,0.09
NEG421,0.11,0.11,1.06
NEG422,1.15,7.93,40.05
NEG423,0.0,0.62,1.0
NEG424,7.42,7.48,7.56
NEG425,0.02,0.02,11.72
NEG426,0.02,0.04,0.04
NEG427,0.67,6.06,44.39
NEG428,0.02,0.02,12.82
NEG429,114.57,117.74,120.41
NEG430,0.0,0.0,0.01
NEG431,4.54,5.81,26.18
NEG432,9.65,9.95,122.69
NEG433,30.06,80.11,166.23
NEG434,29.85,50.05,68.66
NEG435,0.24,0.42,0.42
NEG436,0.01,0.01,2.73
NEG437,2.5,2.5,4.07
NEG438,3.93,33.98,65.64
NEG439,41.79,83.69,109.26
NEG440,0.38,0.43,0.49
NEG441,46.9,113.73,132.48
NEG442,0.0,6.3,9.4
NEG443,31.35,34.87,138.48
NEG444,0.0,0.05,0.05
NEG445,0.05,0.05,1.02
NEG446,3.11,3.11,10.17
NEG447,0.0,0.0,0.0
NEG448,13.46,39.85,54.05
NEG449,0.39,2.76,4.28
NEG450,13.15,46.94,74.64
NEG451,0.44,1.22,1.36
NEG452,0.0,0.84,3.75
NEG453,15.99,30.31,58.6
NEG454,1.0,22.93,131.35
NEG455,16.85,36.78,93.83
NEG456,0.25,9.98,42.14
NEG457,13.53,24.91,168.37
NEG458,4.96,20.41,35.98
NEG459,12.75,22.62,64.04
NEG460,3.56,20.17,47.87
NEG461,31.7,38.32,39.52
NEG462,0.86,17.49,24.76
NEG463,11.55,64.61,90.79
NEG464,5.99,103.52,175.98
NEG465,0.0,0.0,0.79
NEG466,43.52,109.43,111.57
NEG467,0.0,0.0,1.12
NEG468,0.0,0.18,1.01
NEG469,0.03,0.17,13.09
NEG470,0.0,0.0,0.06
NEG471,0.0,0.34,2.81
NEG472,25.62,85.79,89.36
NEG473,0.0,12.49,13.41
NEG474,0.1,2.28,2.3
NEG475,0.0,0.78,0.78
NEG476,13.84,21.64,33.62
NEG477,0.0,0.65,0.67
NEG478,0.25,54.92,130.71
NEG479,1.11,2.3,16.77
NEG480,0.0,0.1,0.27
NEG481,0.0,0.0,0.0
NEG482,21.77,66.01,83.03
