id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source
GLC2344,2010-08-27,"NH-53 at Nungba police station, Kambirong(?), Manipur",24.7505,93.4221,0,landslide,downpour,Assam,5km,nasa_glc
GLC2343,2010-08-27,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",25.4786,94.1327,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2345,2010-08-27,"Daragaon(?), Gangtok city, Sikkim",27.3392,88.6188,0,landslide,downpour,Sikkim,5km,nasa_glc
GLC2392,2010-09-04,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",27.3702,88.7334,0,landslide,downpour,Sikkim,10km,nasa_glc
GLC2405,2010-09-09,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",28.3036,95.4112,10,landslide,downpour,Arunachal Pradesh,unknown,nasa_glc
GLC2411,2010-09-10,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",27.0011,93.7273,0,landslide,downpour,Arunachal Pradesh,unknown,nasa_glc
GLC2424,2010-09-13,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",23.591,92.9296,0,landslide,downpour,Mizoram,25km,nasa_glc
GLC2421,2010-09-13,"road to Muanna Godown, Zuangtui, Mizoram",23.75406693,92.74128531,0,landslide,downpour,Mizoram,1km,nasa_glc
GLC2422,2010-09-13,"Hunthar Veng, Mizoram",23.74182634,92.7141905,0,landslide,downpour,Mizoram,1km,nasa_glc
GLC2426,2010-09-13,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",22.7176,92.8416,0,landslide,downpour,Mizoram,25km,nasa_glc
GLC2423,2010-09-13,"road to Kanan Veng from Hunthar Veng, Mizoram",23.73504471,92.71060943,0,landslide,downpour,Mizoram,1km,nasa_glc
GLC2425,2010-09-13,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",23.3439,93.0748,0,landslide,downpour,Mizoram,25km,nasa_glc
GLC2436,2010-09-16,"Taithu village, Churanchandpur district, Mizoram, Manipur",24.3069,93.125,0,landslide,downpour,Mizoram,5km,nasa_glc
GLC2437,2010-09-16,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",23.7527,92.694,0,landslide,downpour,Mizoram,5km,nasa_glc
GLC2566,2010-10-08,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",25.4769,94.1351,0,mudslide,downpour,Nagaland,5km,nasa_glc
GLC2567,2010-10-08,"Phek, Manipur",25.6633,94.4703,0,complex,downpour,Manipur,5km,nasa_glc
GLC2570,2010-10-08,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",24.837,93.9128,0,landslide,downpour,Manipur,5km,nasa_glc
GLC2569,2010-10-08,"Bungte Chiru village(?), Senapati district, Manipur",25.2745,94.0212,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2568,2010-10-08,"Nungba, Tamenglong, Manipur",24.7679,93.4108,0,landslide,downpour,Assam,25km,nasa_glc
GLC2578,2010-10-09,"NH-39 in Karong area, Manipur",25.3179,94.0462,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2575,2010-10-09,"road between Haflong and Lanka, Assam",25.5242,92.9914,0,landslide,downpour,Assam,50km,nasa_glc
GLC2577,2010-10-09,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",25.5265,93.8673,0,landslide,downpour,Nagaland,50km,nasa_glc
GLC2576,2010-10-09,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",25.4788,94.1399,0,landslide,downpour,Nagaland,10km,nasa_glc
GLC2579,2010-10-09,"Lower Pezielietsie(Tinpati), Kohima, Manipur",25.682,94.1076,0,landslide,downpour,Nagaland,1km,nasa_glc
GLC2587,2010-10-10,"Lower Chandmari area, PWD department, Kohima, Manipur",25.6623,94.1072,0,landslide,downpour,Nagaland,1km,nasa_glc
GLC2743,2010-11-22,"Tawang Monastery, Arunachal Pradesh",27.5798729,91.85672387,0,landslide,unknown,Arunachal Pradesh,1km,nasa_glc
GLC3269,2011-03-22,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district",28.0791,96.5242,0,landslide,downpour,Arunachal Pradesh,10km,nasa_glc
GLC3525,2011-05-22,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",25.0672,93.4093,0,landslide,downpour,Assam,25km,nasa_glc
GLC3532,2011-05-24,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",25.0888,92.8551,0,complex,downpour,Assam,10km,nasa_glc
GLC3560,2011-05-31,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",24.8286,93.5935,2,landslide,downpour,Manipur,50km,nasa_glc
GLC3556,2011-05-31,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",25.1555,93.8474,0,landslide,continuous_rain,Manipur,25km,nasa_glc
GLC3633,2011-06-20,Mokokchung,26.3186,94.5121,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC3637,2011-06-21,"Lasumi village in Phek district, Kohima",25.51614662,94.2341227,0,landslide,rain,Nagaland,1km,nasa_glc
GLC3663,2011-06-28,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",25.6682,94.1099,0,landslide,downpour,Nagaland,50km,nasa_glc
GLC3662,2011-06-28,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",25.03561729,94.0144205,0,landslide,rain,Manipur,25km,nasa_glc
GLC3672,2011-06-29,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",25.5125,93.3613,0,landslide,downpour,Assam,unknown,nasa_glc
GLC3683,2011-07-01,NH-61 between Botsa and Chiechama,25.8782,94.1739,0,landslide,downpour,Nagaland,10km,nasa_glc
GLC3738,2011-07-06,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",24.8063,93.9482,6,landslide,downpour,Manipur,50km,nasa_glc
GLC3741,2011-07-07,Maram (80 km north of Imphal),25.4191,94.1079,0,landslide,rain,Nagaland,5km,nasa_glc
GLC3760,2011-07-11,"NH-61, 1 km before reaching Botsa",25.6703,94.1095,0,landslide,downpour,Nagaland,25km,nasa_glc
